"","Original_names","Visits","d","Id","Order","Family","Genus","Species","Breeding_system","Compatibility","Selfing","Selfing_quantitative","Flower_shape","Flower_symmetry","Flower_number","Flower_inflorescence","Floral_unit_width","Flower_width","Flower_length","Style_length","Ovule_number","Life_form","Life_span","Plant_height"
"1","Acantholippia seriphioides",22,0.593447362357248,"15_2_peralta_2006_mendoza_site_2","Lamiales","Verbenaceae","Acantholippia","Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",10000,50,24,6,3,3,2,"shrub","Perennial",0.45
"2","Achillea millefolium",36,0.251858888984776,"17_1_arroyo_correa_new_zealand_2019_1","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,25,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"3","Achillea millefolium",15,0.46265913903728,"17_2_arroyo_correa_new_zealand_2019_2","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,25,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"4","Achillea millefolium",60,0.37883301513775,"17_3_arroyo_correa_new_zealand_2019_3","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,25,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"5","Achillea millefolium",9,0.304464471758916,"2_1_dicks_2002_england_shelfanger","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,25,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"6","Achillea millefolium",20,0.809863923253522,"6_1_inouye_1988_australia","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,25,35,2.1,2.4,2.5,15,"herb","Perennial",0.8
"7","Achillea wilsoniana",39,0.4400350881636,"5_1_fang_2008_china","Asterales","Asteraceae","Achillea","Achillea wilsoniana","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",800,800,6,6,4,3,15,"herb","Perennial",0.65
"8","Aciphylla glacialis",147,0.518545464552224,"6_1_inouye_1988_australia","Apiales","Apiaceae","Aciphylla","Aciphylla glacialis","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,200,200,2.25,0.5,1,2,"herb","Perennial",0.425
"9","Aciphylla simplicifolia",1,1,"6_1_inouye_1988_australia","Apiales","Apiaceae","Aciphylla","Aciphylla simplicifolia","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,1000,200,1.75,0.4,1,2,"herb","Perennial",0.3
"10","Adenophora capillaris",81,0.136781432676285,"5_1_fang_2008_china","Asterales","Campanulaceae","Adenophora","Adenophora capillaris","Hermaphrodite","self_incompatible","low",8,"Campanulate","actinomorphic",30,30,12.5,12.5,14,20,152,"herb","Perennial",0.75
"11","Adenophora jasionifolia",96,0.140743444069611,"5_1_fang_2008_china","Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",10,10,20,20,18.44,20,193,"herb","Perennial",0.45
"12","Adenophora khasiana",90,0.195178375222843,"5_1_fang_2008_china","Asterales","Campanulaceae","Adenophora","Adenophora khasiana","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",100,100,35,35,20.59,24,356,"herb","Perennial",0.9
"13","Aeschynomene mollicula",56,0.0438289905741917,"10_1_souza_2017_brazil_chaco","Fabales","Fabaceae","Aeschynomene","Aeschynomene mollicula","Hermaphrodite","self_compatible","low",20.9932,"Papilionaceous","zygomorphic",5,5,2.1,2.1,7.1,5,15,"shrub","Perennial",1
"14","Aetheorrina bulbosa",32,0.405656588948031,"1_1_bartomeus_spain_2008_batca_1_2","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,5,20,20,5,6,15,"herb","Perennial",0.45
"15","Aetheorrina bulbosa",2,0.73794115534821,"1_3_bartomeus_spain_2008_medca_1_2","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,5,20,20,5,6,15,"herb","Perennial",0.45
"16","Agauria salicifolia",18,0.259396591625373,"14_2_kaiser-bunbury_2010_mauritius_restored","Ericales","Ericaceae","Agarista","Agarista salicifolia","Hermaphrodite","self_compatible","low",15.63515,"Tube","actinomorphic",2000,30,10,4.5,8.5,7,7,"tree","Perennial",10.45
"17","Agrimonia pilosa",19,0.325829546590132,"5_1_fang_2008_china","Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","Hermaphrodite","self_compatible","low",16.2468,"Open","actinomorphic",30,30,18,7.5,1,3,2,"herb","Perennial",0.75
"18","Ajuga forrestii",329,0.280935346826059,"5_1_fang_2008_china","Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","Hermaphrodite","self_compatible","low",20.85185,"Tube","zygomorphic",80,80,24,9,8.1,6,4,"herb","Short lived",0.18
"19","Allium ampeloprasum",1,1,"1_2_bartomeus_spain_2008_fraop_1_2","Asparagales","Amaryllidaceae","Allium","Allium ampeloprasum","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",250,250,50,6,5,35.5,6,"herb","Perennial",1.25
